id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	materialSampleID	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedReferences	organismID	associatedOccurrences	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	eventTime	year	month	verbatimEventDate	fieldNumber	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	identificationQualifier	typeStatus	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
EB0CD257-E5A0-4C23-B073-263B60BEAB9A	2018-07-13T09:31:35			AIMS	CReefs - Lizard Island 2009	HumanObservation		EB0CD257-E5A0-4C23-B073-263B60BEAB9A	EB0CD257-E5A0-4C23-B073-263B60BEAB9A					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
CAF1B1CC-9496-4F53-8E27-0FB379F8AEB0	2018-07-13T09:31:35			AIMS	CReefs - Lizard Island 2009	HumanObservation		CAF1B1CC-9496-4F53-8E27-0FB379F8AEB0	CAF1B1CC-9496-4F53-8E27-0FB379F8AEB0					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
B585C37D-D4F0-4781-9BAE-84EB49BDC253	2018-07-13T09:31:35			AIMS	CReefs - Lizard Island 2009	HumanObservation		B585C37D-D4F0-4781-9BAE-84EB49BDC253	B585C37D-D4F0-4781-9BAE-84EB49BDC253					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
9D7144EA-5251-4645-BF4C-DEB9293A39E6	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		9D7144EA-5251-4645-BF4C-DEB9293A39E6	9D7144EA-5251-4645-BF4C-DEB9293A39E6					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
98917DDA-BC0B-4E59-8F7A-77493FB02FCB	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		98917DDA-BC0B-4E59-8F7A-77493FB02FCB	98917DDA-BC0B-4E59-8F7A-77493FB02FCB					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
6CC71C6A-7F55-4F81-B792-6AD5A3219DC1	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		6CC71C6A-7F55-4F81-B792-6AD5A3219DC1	6CC71C6A-7F55-4F81-B792-6AD5A3219DC1					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
6A9A6D94-CD92-495B-A3D5-1612A148E135	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		6A9A6D94-CD92-495B-A3D5-1612A148E135	6A9A6D94-CD92-495B-A3D5-1612A148E135					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
075601FD-20FE-4C51-A288-703C2F7F7FA0	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		075601FD-20FE-4C51-A288-703C2F7F7FA0	075601FD-20FE-4C51-A288-703C2F7F7FA0					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
EAE0DEEC-02E8-4AF5-AC74-022C73B120F7	2018-07-13T09:31:35			AIMS	CReefs - Lizard Island 2009	HumanObservation		EAE0DEEC-02E8-4AF5-AC74-022C73B120F7	EAE0DEEC-02E8-4AF5-AC74-022C73B120F7					1	individuals			present										2009-02-27							Australia				15	15	-14.47119	145.52969	200	0.0018	POINT (145.52969 -14.47119)							urn:lsid:marinespecies.org:taxname:213988		Callophycus serratus	Plantae	Rhodophyta	Rhodophyta incertae sedis		Callophycus				species	(Harvey ex KÃ¼tzing) P.C.Silva, 1957	
9B59CE6F-BA80-4207-8BDF-91CB858381B5	2018-07-13T09:31:35			AIMS	CReefs - Lizard Island 2009	HumanObservation		9B59CE6F-BA80-4207-8BDF-91CB858381B5	9B59CE6F-BA80-4207-8BDF-91CB858381B5					1	individuals			present										2009-02-27							Australia				1	1	-14.47119	145.52969	200	0.0018	POINT (145.52969 -14.47119)							urn:lsid:marinespecies.org:taxname:213988		Callophycus serratus	Plantae	Rhodophyta	Rhodophyta incertae sedis		Callophycus				species	(Harvey ex KÃ¼tzing) P.C.Silva, 1957	
